       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
      1991D  205.30666700  -14.646667000   0.04179  Host_spectrum  0.0527   48262.38  48279.61   Silver   Other 
     1999as  139.12858000  +13.650610000     0.127  Host_spectrum  0.0268   51205.86  51239.89   Silver   Other 
     1999bz  210.44479000  +68.879580000    0.0846  Host_spectrum  0.0172   51176.32  51306.18   Bronze   Other 
     2002gh  46.372750000  -5.3658300000    0.3653       Mg_Lines  0.0593    52472.9  52562.41   Silver   Other 
     2005ap  195.31183000  +27.725390000    0.2832     Host_lines  0.0072   53423.09   53441.3     Gold   Other 
     2006oz  332.22317000  +0.8973300000     0.376    SN_features  0.0403   54028.39  54085.29   Silver    SDSS 
     2007bi  199.83413000  +8.9289700000    0.1279     Host_lines  0.0232   54093.93  54154.33     Gold   Other 
     2009cb  194.81604000  +27.278140000    0.1867  Host_spectrum   0.008   54881.51  54902.42   Silver     PTF 
     2009jh  222.29204000  +29.419560000    0.3499  Host_spectrum  0.0141   55001.55  55079.38     Gold     PTF 
     2010gx  171.44463000  -8.8281700000    0.2297  Host_spectrum  0.0333   55253.23  55282.02     Gold     PS1 
     2010hy  284.88704000  +19.407190000    0.1901  Host_spectrum  0.4563   55388.53  55435.25     Gold     PTF 
     2010kd  182.00462500  +49.225306000     0.101     Host_lines  0.0197   55497.78   55554.9     Gold   Other 
     2010md  249.44600000  +6.2089700000    0.0987  Host_spectrum  0.0728   55317.38  55362.01     Gold     PTF 
     2011ep  255.92408000  +32.764610000      0.28     Host_lines  0.0194   55628.09  55670.21   Bronze     CSS 
     2011ke  207.74079000  +26.278390000    0.1428  Host_spectrum  0.0102   55649.85  55679.47     Gold     PS1 
     2011kf  219.23971000  +16.515720000     0.245     Host_lines   0.019   55903.16  55934.43   Silver     CSS 
     2011kg  24.939620000  +29.924170000    0.1924  Host_spectrum  0.0371   55899.98  55935.73     Gold     PTF 
     2011kl  14.344330000  -46.801000000     0.677    SN_features  0.0145   55903.78  55930.66   Silver     CSS 
     2012aa  223.13950000  -3.5316700000     0.083  Host_spectrum   0.088    55921.5  55962.05   Silver     CSS 
     2012il  146.55354000  +19.841170000     0.175     Host_lines  0.0195   55917.48  55941.43     Gold     PS1 
     2013dg  199.67229000  -7.0786100000     0.265    SN_features  0.0406   56413.59  56447.62     Gold     CSS 
     2013hy  40.636750000  -1.3583600000     0.663     Host_lines  0.0284   56515.92  56560.39   Silver     DES 
