       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59885.506    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59885.506    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59885.506    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59885.506    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59885.506    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59885.506    99.0    99.0    99.0  6629.82     3631.0  orange 
 59885.506    99.0    99.0    99.0  7645.77     3631.0       i 
 59885.557    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59885.557    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59885.557    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59885.557    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59885.557    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59885.557    99.0    99.0    99.0  6629.82     3631.0  orange 
 59885.557    99.0    99.0    99.0  7645.77     3631.0       i 
  59889.26    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
  59889.26    99.0    99.0    99.0  4746.48     3631.0   g-P48 
  59889.26    99.0    99.0    99.0  5182.42     3631.0    cyan 
  59889.26    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
  59889.26    99.0    99.0    99.0  6366.38     3631.0   r-P48 
  59889.26    99.0    99.0    99.0  6629.82     3631.0  orange 
  59889.26    99.0    99.0    99.0  7645.77     3631.0       i 
 59889.557    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59889.557    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59889.557    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59889.557    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59889.557    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59889.557    99.0    99.0    99.0  6629.82     3631.0  orange 
 59889.557    99.0    99.0    99.0  7645.77     3631.0       i 
 59892.964    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59892.964    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59892.964    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59892.964    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59892.964    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59892.964    99.0    99.0    99.0  6629.82     3631.0  orange 
 59892.964    99.0    99.0    99.0  7645.77     3631.0       i 
 59893.525    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59893.525    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59893.525    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59893.525    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59893.525    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59893.525    99.0    99.0    99.0  6629.82     3631.0  orange 
 59893.525    99.0    99.0    99.0  7645.77     3631.0       i 
 59895.219    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59895.219    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59895.219    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59895.219    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59895.219    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59895.219    99.0    99.0    99.0  6629.82     3631.0  orange 
 59895.219    99.0    99.0    99.0  7645.77     3631.0       i 
 59895.325    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
