 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -13.24416  0.36177  2.46202     13.96909   1.8733  1.37941  10.91569  0.07535     0.07776  5965.34945   3157.23246  0.79974         4237.69099     19.72988  0.02983  59896.20447   2.31713    3.949   1215669.7044  45.67405  18.64398  59959.35503    51.45106       44.62278   31.82536  49.18464   80.0    0.12326  -21.70855  0.89834 
  -13.16984  0.02228  1.79855     13.89656  1.66266  1.16957  14.98819  0.06508     0.01342  5932.67241   7437.42955  0.38242         5385.70712      18.5748  0.00209  59896.27878   3.14686  0.33397   804154.30694  46.07446  18.66157  59963.45817    51.51284       44.70146   26.66942  52.07786   60.0    0.12428  -21.69116  0.99395 
    -8.9643  0.27358   1.5361     14.08205  1.74821  1.54747  21.71979  0.04613     0.01331  6360.32839   6212.72378  0.54444         5128.30494     19.26197  0.01016  59900.48433   5.24133  5.94212    262512.1753  46.71945  18.68442  59959.35503    51.56816       44.84498   26.70881  37.61179   70.0    0.12302  -21.71417  0.93289 
  -10.79081  0.00153  2.20778     13.75188  1.57192  1.49125  10.63405  0.06073     0.15825  6304.02016   9040.68769  0.53521         4932.51215      16.4377    2e-05  59898.65781   2.52093  0.01631  2230492.10146  45.42897  18.64691  59959.35503    51.44809       44.68298   29.60202  43.39821   63.5    0.13946  -21.74683  0.99951 
  -11.81295  0.05103  1.64678     14.00695  1.93843  1.53711  41.29187  0.01943     0.04614  5330.27166   9254.87594  0.50029         4393.88888     19.64345  0.02444  59897.63567   6.99827  2.10729   472746.27101   46.4484  18.65631  59959.35503    51.54765        44.7902   27.94204  40.59417   60.0    0.12093  -21.63713  0.97522 
   -5.21987  0.14125  0.88388     14.19696  1.55909  0.84629  27.26614  0.03608     0.01114  4738.45118   6875.02642  1.26815         4130.56006     19.83827  0.03828  59904.22876   3.65194  3.85126    45662.35965  47.90937  18.67874  59956.26172    51.61884       44.93756   26.39571  37.92488   64.0    0.11281  -21.64159  0.98407 
  -13.04589  0.00616  1.78297     13.93489  1.58618  0.91374   8.72695   0.1154     0.04663  7054.31773   8391.56897  0.25271         4865.57724     16.40267    1e-05  59896.40274    2.5906  0.05375   631936.64218  46.16624  18.61243  59959.62326    51.47373       44.72532   26.57085  43.49678   54.0    0.13756  -21.72726  0.99897 
  -14.12059   0.0098  1.49813     14.01236  1.91834   1.5514  39.89589  0.02568      0.0116  5216.97465   8433.68623  0.55938         5829.98979     19.49498  0.01737  59895.32803   6.47728  0.39096   377672.52468  46.62355  18.65915  59959.62326    51.61185       44.88686   24.06743   42.0789   57.5    0.11818  -21.71289  0.99606 
  -13.67258  0.00616  2.26347     13.77914  1.51955  0.86432   7.91492  0.07295     0.02447  6913.06748   7950.04376  0.35637         5730.33749     19.77484  0.03308  59895.77605   2.25639  0.04873  1998944.80836  45.44021  18.61526  59963.32658    51.45118       44.65421   25.04777  47.91308   66.5     0.1321  -21.78492  0.99836 
   -7.69262  0.01014  1.72001     13.95003  1.50315  0.88792  13.08562  0.05817     0.14378  5225.16789   3112.32149  0.84737         4407.63451      16.0393    1e-05    59901.756   2.13119  0.13264   519785.40592  46.25896  18.64659  59963.32658    51.40939       44.63165   37.17332  46.29143   62.5    0.13788  -21.66834  0.99744 
