          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 59717.257262  19.5388   19.692    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59805.609239  18.9958   19.149    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59809.602444  19.7651  19.9183    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59822.576202  20.3014  20.5107    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59823.622342  19.9781  20.1875    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59829.620896  19.7872  19.9404    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59836.594395  19.7388   19.892    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59837.574987  19.7581  19.9113    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59839.567341  19.2943  19.4476    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59844.624076  20.5255  20.7348    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59845.516079  19.2147   19.424    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59847.578319  20.0991  20.3085    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  59847.61864   19.765  19.9182    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59849.625112  20.5223  20.7317    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59851.606496  20.5862  20.7956    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59851.626944  19.8292  19.9824    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  59852.58684  20.5619  20.7712    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59853.560035  20.7701  20.9794    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59855.547787  20.2241  20.4334    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59858.615124  20.2776  20.4308    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59859.621258  19.8832  20.0364    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59860.570092  18.8278   18.981    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59861.588362  18.8867  19.0399    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59862.484203   19.102  19.2552    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59863.546305  19.7224  19.8756    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59864.587025  20.0277  20.1809    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
