       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
  59950.83    99.0    99.0    99.0  4746.48     3631.0       g 
  59950.83    99.0    99.0    99.0  5182.42     3631.0    cyan 
  59950.83    99.0    99.0    99.0  6366.38     3631.0       r 
  59950.83    99.0    99.0    99.0  6629.82     3631.0  orange 
  59953.88    99.0    99.0  27.225  4746.48     3631.0       g 
  59953.88    99.0    99.0  27.273  5182.42     3631.0    cyan 
  59953.88    99.0    99.0  27.433  6366.38     3631.0       r 
  59953.88    99.0    99.0   27.48  6629.82     3631.0  orange 
 59956.929  27.065  24.873  23.814  4746.48     3631.0       g 
 59956.929  27.111  24.902  23.865  5182.42     3631.0    cyan 
 59956.929  27.259   25.03  24.023  6366.38     3631.0       r 
 59956.929  27.303  25.072   24.07  6629.82     3631.0  orange 
 59957.421  26.051  24.465  23.555  4746.48     3631.0       g 
 59957.421  26.093  24.501  23.606  5182.42     3631.0    cyan 
 59957.421  26.231  24.626  23.761  6366.38     3631.0       r 
 59957.421  26.275  24.667  23.804  6629.82     3631.0  orange 
 59959.979  23.724  23.091  22.563  4746.48     3631.0       g 
 59959.979  23.765  23.131  22.602  5182.42     3631.0    cyan 
 59959.979  23.902  23.262   22.74  6366.38     3631.0       r 
 59959.979  23.946  23.305  22.783  6629.82     3631.0  orange 
 59963.029  22.482  22.124  21.771  4746.48     3631.0       g 
 59963.029  22.522  22.168  21.826  5182.42     3631.0    cyan 
 59963.029  22.657  22.302  21.975  6366.38     3631.0       r 
 59963.029    22.7  22.348   22.02  6629.82     3631.0  orange 
 59966.079  21.705  21.468  21.211  4746.48     3631.0       g 
 59966.079   21.75   21.51  21.256  5182.42     3631.0    cyan 
 59966.079  21.892  21.651  21.414  6366.38     3631.0       r 
 59966.079  21.934  21.692  21.459  6629.82     3631.0  orange 
 59966.442  21.628  21.403  21.155  4746.48     3631.0       g 
 59966.442  21.672  21.445  21.199  5182.42     3631.0    cyan 
 59966.442  21.817  21.586  21.356  6366.38     3631.0       r 
 59966.442   21.86  21.627  21.401  6629.82     3631.0  orange 
 59969.128  21.156   20.98  20.788  4746.48     3631.0       g 
 59969.128  21.185  21.022   20.83  5182.42     3631.0    cyan 
 59969.128  21.323  21.159  20.971  6366.38     3631.0       r 
 59969.128  21.368  21.202  21.019  6629.82     3631.0  orange 
 59969.261  21.135  20.961  20.771  4746.48     3631.0       g 
 59969.261  21.164  21.002  20.814  5182.42     3631.0    cyan 
 59969.261  21.302   21.14  20.954  6366.38     3631.0       r 
 59969.261  21.347  21.184  21.001  6629.82     3631.0  orange 
 59969.304  21.129  20.955  20.765  4746.48     3631.0       g 
 59969.304  21.157  20.996  20.809  5182.42     3631.0    cyan 
 59969.304  21.295  21.134  20.949  6366.38     3631.0       r 
 59969.304  21.341  21.178  20.995  6629.82     3631.0  orange 
 59969.405  21.113  20.941  20.753  4746.48     3631.0       g 
 59969.405  21.142  20.982  20.797  5182.42     3631.0    cyan 
 59969.405  21.279   21.12  20.936  6366.38     3631.0       r 
 59969.405  21.325  21.164  20.983  6629.82     3631.0  orange 
 59971.305   20.84  20.696  20.531  4746.48     3631.0       g 
