 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -16.16422   0.2262  1.54449       12.992  1.77355  1.43574   6.04816  0.33486     0.01902  8093.93163   4896.61428  0.02324         3638.93049     17.52988  0.00019  59953.13986  2.36357  1.36811  40759955.27941  44.52989  18.03819   60057.5719    51.54091       44.52709   66.83316   79.1009   84.5    0.07336  -22.07129  0.97829 
  -12.01522  0.00659  1.62809     13.42155  1.54607   0.3973  10.98774  0.13347     0.01083  7290.31037   4864.58266  1.41335         2965.31055     18.40137   0.0014  59957.28885  3.48359  0.07243   5461365.07524  45.29742  18.07557  60049.98359    51.47778       44.45096   66.78339  79.15068   88.5    0.07711  -22.02146  0.99847 
  -13.32232  0.02134  1.26037     13.00536  1.50659  0.84508   6.59707  0.33561     0.01374  8476.52759   8724.75866  0.12348         2824.43347     20.12043  0.07331  59955.98175  2.82757  0.14079  21681541.23565  44.90975  18.04869  60055.18355    51.55154       44.56447   63.58428  72.45595   66.5    0.08056  -22.14413  0.99813 
  -14.36023  0.21106  1.66268     13.10437  1.59654  1.21165   8.04696  0.23818      0.0139  7322.42356   9658.24306  0.71768          2908.1246     18.99935  0.00555  59954.94385  2.57377  1.69841  25343262.94186  44.62655  18.04104   60057.5719    51.48943       44.47139   74.03108   76.8499   64.5    0.07463  -22.03496  0.96695 
  -13.47971  0.01421  1.85718     13.20044  1.50968  1.16235   7.25413  0.32781     0.01052  5975.97267   7812.14048  4.29664         3523.52156     16.38999    1e-05  59955.82436  1.54536  0.10305  19209662.41632   44.6265  18.04057  60056.29316    51.54463       44.53363   66.83316  76.62744   78.0    0.07936  -21.99093  0.99731 
  -14.62547    0.001  1.44241     13.11291  1.38624  0.70434   7.67558  0.27466     0.01159  6590.16775   5247.50828  2.29795         3549.25555     20.07344  0.06579   59954.6786  1.98853  0.00768    15922496.719   44.8905  18.04744  60055.31023     51.5274       44.50639   69.25685  79.15068   86.0    0.07369  -22.09821  0.99985 
  -17.34615  0.00391  1.57744      13.1641  1.60286  1.24595   9.32538   0.2935      0.0102  6991.32227   5225.87207  0.16087         5619.47255     18.03873  0.00061  59951.95792  2.71902  0.03649   17394710.5724  44.83742  18.06005  60056.29316    51.44196       44.42774   74.13976  76.74122   80.5    0.06663  -22.09356  0.99938 
  -15.38781  0.01331  1.75474     13.24447  1.84565  1.08125   8.53355   0.2482     0.01049  7040.48535   4714.93271  0.17358         5905.40112     17.21562    9e-05  59953.91626  2.52326  0.11355  17117866.10368  44.81312  18.05076   60057.5719    51.51313       44.50504    71.7303  76.67722   80.5     0.0736  -22.08311  0.99802 
  -12.87265  0.05771  1.50981     13.09436  1.52291  1.20165   6.45581  0.28689     0.01539  7506.63637   8692.96652  0.73312         2525.22652     20.25014  0.09883  59956.43142  2.17004  0.37255  20874622.17433  44.77405  18.03172  60056.29316    51.45923       44.42369   74.13976  81.68814   68.5    0.07906  -22.11589  0.99363 
  -12.48749  0.03864  1.92094     13.37217  1.57928  0.77797   7.88888  0.27868     0.01257  6437.16755   8085.45425  3.43417         3134.61399     18.89359  0.00435  59956.81658  1.94999  0.30485   9749216.00593  44.91131  18.03324   60057.5719    51.58833       44.62564    62.7876  68.30571   76.0    0.07833  -21.99731  0.99222 
