          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 60052.405343  20.1304  20.1982    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60058.408006  20.2819  20.3497    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60060.097333  20.1674  20.2171    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60066.140894  20.0026  20.0522    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60067.384358  20.2098  20.2594    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60069.108653  19.2194  19.2691    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60070.365817  19.4203  19.4699    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60072.144441  19.9566  20.0063    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60073.366561  19.3364  19.3861    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60075.109689  19.7749  19.8245    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60076.361467  19.3987  19.4484    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60081.120191    19.98  20.0478    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60082.327257  20.0953  20.1449    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60084.126693  20.2843  20.3521    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60085.341416   19.532  19.5817    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60093.134702  20.5191  20.5869    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60102.060618  19.6361  19.6857    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60106.316518  20.0425  20.0921    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60109.368624  20.4034   20.453    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60110.332187  20.3738  20.4416    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60112.328824  20.1177  20.1855    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60126.017688  19.7036  19.7532    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
  60127.25409  19.6607  19.7104    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60128.334342  19.5359  19.5855    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60129.026163   19.388  19.4376    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60136.289083  20.0403    20.09    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60137.972373  20.1565  20.2243    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60138.003338  19.9891  20.0569    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60139.263473  20.4865  20.5361    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60140.166056  20.3131  20.3809    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60141.047854  20.5883  20.6561    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60147.019451  20.6674  20.7352    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60150.052446  20.5663  20.6341    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  60151.30446  20.7561  20.8057    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60151.626527  18.4138  18.4816    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60154.213122  20.1032  20.1528    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60161.963977  19.4426  19.4922    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60163.303847  19.7977  19.8473    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60169.157004  20.2511  20.3189    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60170.263773  20.3023  20.3701    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60176.134279  19.7021  19.7517    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60177.029434  19.9329  19.9825    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60178.245982  20.3857  20.4535    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60179.986778  20.2753  20.3249    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60180.003973  19.6591  19.7087    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60183.029705  20.2289  20.2785    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60184.135667   19.243  19.2926    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60188.974746  19.1714   19.221    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60189.015235  18.3875  18.4371    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60198.349143  19.1681  19.2446    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60199.963733    20.03  20.0978    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60200.934821   20.307  20.3748    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60201.302164  20.1518  20.2283    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60205.278148  20.4812  20.5577    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60205.320879  20.3629   20.416    -1.0        P48         ZTF       r   True      AB   False                  ZTF 
 60207.270161   20.412  20.4885    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60207.319062  20.2369    20.29    -1.0        P48         ZTF       r   True      AB   False                  ZTF 
 60208.159651  20.4704    20.52    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
  60209.98566  19.5378  19.5874    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60210.000334  19.5069  19.5566    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60211.092195  19.5934  19.6431    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60211.294074  19.7334  19.8099    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60216.272939  18.7545   18.831    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
 60217.172594  19.4076  19.4572    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60218.614011  19.7907  19.8404    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60220.138997   19.806  19.8556    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60220.290254  19.0608  19.1373    -1.0        P48         ZTF       g   True      AB   False                  ZTF 
  60220.29427  19.1832  19.2363    -1.0        P48         ZTF       r   True      AB   False                  ZTF 
 60221.875811  20.0754  20.1251  0.2801      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60222.251087  19.4231  19.4762    -1.0        P48         ZTF       r   True      AB   False                  ZTF 
 60223.133679   20.026  20.0938  0.2244      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 60224.252777  19.8815   19.958  0.2389        P48         ZTF       g  False      AB   False                  ZTF 
 60226.130472  20.0204    20.07  0.2539      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60227.210011  19.8906  19.9671   0.171        P48         ZTF       g  False      AB   False                  ZTF 
 60227.252314  20.0458  20.0989  0.3201        P48         ZTF       r  False      AB   False                  ZTF 
 60227.895299  20.0006  20.0502  0.2687      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60229.120763   19.878  19.9276  0.2159      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
