       MJD   Upper    Mean   Lower  Cenwave  Zeropoint      Filter 
 60168.919    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
 60168.919    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 60168.919    99.0    99.0    99.0  5182.42     3631.0        cyan 
 60168.919    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 60168.919    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 60168.919    99.0    99.0    99.0  6629.82     3631.0      orange 
 60168.919    99.0    99.0    99.0  7654.38     3631.0           i 
 60169.157    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
 60169.157    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 60169.157    99.0    99.0    99.0  5182.42     3631.0        cyan 
 60169.157    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 60169.157    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 60169.157    99.0    99.0    99.0  6629.82     3631.0      orange 
 60169.157    99.0    99.0    99.0  7654.38     3631.0           i 
 60170.264    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
 60170.264    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 60170.264    99.0    99.0    99.0  5182.42     3631.0        cyan 
 60170.264    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 60170.264    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 60170.264    99.0    99.0    99.0  6629.82     3631.0      orange 
 60170.264    99.0    99.0    99.0  7654.38     3631.0           i 
  60172.13    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
  60172.13    99.0    99.0    99.0  4746.48     3631.0       g-P48 
  60172.13    99.0    99.0    99.0  5182.42     3631.0        cyan 
  60172.13    99.0    99.0    99.0  6366.38     3631.0       r-P48 
  60172.13    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
  60172.13    99.0    99.0    99.0  6629.82     3631.0      orange 
  60172.13    99.0    99.0    99.0  7654.38     3631.0           i 
 60175.341    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
 60175.341    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 60175.341    99.0    99.0    99.0  5182.42     3631.0        cyan 
 60175.341    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 60175.341    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 60175.341    99.0    99.0    99.0  6629.82     3631.0      orange 
 60175.341    99.0    99.0    99.0  7654.38     3631.0           i 
 60176.134    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
 60176.134    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 60176.134    99.0    99.0    99.0  5182.42     3631.0        cyan 
 60176.134    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 60176.134    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 60176.134    99.0    99.0    99.0  6629.82     3631.0      orange 
 60176.134    99.0    99.0    99.0  7654.38     3631.0           i 
 60177.029    99.0    99.0    99.0  4677.22     3631.0  g-Magellan 
