 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -22.74148  0.00438  0.94271     13.75187  1.58245  1.51997   45.9102  0.04917     0.06409  2866.12492   9031.01906  1.10829         5191.17985     17.07823    7e-05  60199.13433   2.24971    0.201    409402.21118  46.90727  18.85958  60309.04971    51.59796       44.54015   52.36704   90.83123   95.0    0.03571  -21.75451  0.99893 
  -29.43278  0.00308  1.81782     14.01336  1.94902  0.67088  18.40221  0.19907     0.33516  4581.09682   7492.42794   0.9975         4672.07177     19.64763  0.02468  60192.44303   2.30375  0.05676     562353.2204  46.28955  18.90781  60310.20291    51.48293       44.36493   92.31743   98.19592   96.5      0.038  -21.80154  0.99916 
  -24.16826  0.01223  1.64418      13.7569   1.5838  1.23525  27.16625  0.18465     0.05809  5824.13115   7419.53912  1.82582         3828.83763     16.57126    2e-05  60197.70755   5.49692  0.33218   1217935.07615  45.95102   18.9474  60287.72587    51.36201       44.25753   66.00102  103.97059   92.5    0.04137  -21.75955  0.99457 
  -27.83142  0.02729  1.49177     13.80598  1.72362  1.23827  71.08529  0.03831     0.03159  3894.35877   9650.82022  0.83949         5387.41453     16.95288    5e-05  60194.04439     6.431  1.93958    870374.15824  46.21818  18.93854  60306.99191    51.54517       44.46572   62.47799   94.63548   86.5    0.03943  -21.76824  0.97747 
  -32.21952  0.00274  1.13832     13.70403   1.5099  1.27917  21.77426  0.32983     0.46626  7244.76697   6964.37954  0.50153         2142.94913     19.56321  0.02032  60189.65629   6.81741  0.05957    709951.84486  46.48404  18.90815  60306.99191    51.54883       44.45042   55.71849  107.11897   88.0    0.04124   -21.8571   0.9995 
   -33.7978  0.05512  2.06208     13.66859   1.6911  1.39099  16.42147  0.13447     0.31425  4360.89461   8403.01605  0.68999         5226.44953     16.29211    1e-05  60188.07801    1.8629  0.90512   3072007.15724  45.38098  18.86375   60303.7809    51.49986       44.39266   65.55369   96.46958   93.5    0.04679  -21.72591  0.97892 
  -46.23008  0.00105  2.10259     13.41521  1.52066  1.02628  13.10588  0.27075     0.01749  5623.54499   6705.21441  4.28092         2905.15533     18.43165   0.0015  60175.64573   2.47237   0.0137   9224484.99267  44.84043   18.9158  60302.36875    51.54346        44.4632   60.76841   93.28613   96.0    0.04435  -21.76585  0.99957 
  -29.20031   0.0469  2.29217     13.77397  1.57072  0.60071   9.42465  0.29795      0.0949  6740.04961   6736.16354  3.37202         2654.66374     16.40406    1e-05   60192.6755   2.55399  0.44205   2170054.18152  45.40798  18.90453  60310.20291     51.5217       44.41845   67.02942  103.62473   99.0     0.0531  -21.80542  0.98532 
  -44.19099  0.22162  2.27991     13.80188  1.76231   0.4456  10.88868  0.30481     0.01622  5251.03576   7250.76034   3.8006          3385.1813     20.41931  0.14589  60177.68482   1.79099  2.41313   2118212.21571  45.47312  18.96203  60302.36875    51.42167       44.30827   87.40763   98.19592   92.5    0.04689  -21.93179  0.93431 
  -37.04117   0.0074  2.67666     14.16233  1.76399  0.21874  13.86539  0.15426     0.03275   5809.7468   6614.50461    2.698         3369.93039     17.98541  0.00054  60184.83464   2.79173  0.10256    555701.89529  45.91531  18.91543   60303.7809    51.35791        44.2461   81.01164  100.65082  110.0    0.05027  -21.74137  0.99589 
  -26.48594  0.01704   1.3425      13.7889   1.7342   1.4089  96.60924  0.02437     0.12679  3312.43241   8876.63465   0.9417         5698.75171     17.47247  0.00016  60195.38987   6.32324  1.64595    767246.18758  46.36718  18.88748   60303.7809    51.42839       44.33328   81.01164   93.28613   94.5    0.03854  -21.80577  0.98458 
   -24.1104  0.01865   0.7577     13.93494  1.81536  1.55844  42.89765  0.26809     0.11337  9615.97724   7142.57899  0.23046          2449.4058     19.55031  0.01973  60197.76542  23.66179  0.80001    130587.35324  47.65291  18.89502  60306.99191     51.4955       44.39921   52.73016  109.36487   87.5    0.04962  -21.91992  0.99786 
  -36.79647  0.00952  1.57304     13.52636  1.37666  1.51486  25.58658  0.16079     0.09312  6260.73898   6954.81136  0.20525         5004.35375     18.07753  0.00066  60185.07934   5.98261   0.2436   2801503.30352   45.5668  18.87451  60306.99191    51.41151       44.33113   83.46653   88.37633   91.5    0.04652  -21.82162  0.99545 
  -22.03178  0.00783  0.80365     13.99858  1.97229  1.27769  40.54356  0.19353     0.10794  6850.45244   7923.99645  0.49537         5543.51863     19.55242  0.01982  60199.84403  11.34978  0.31758    119058.21297  47.67793  18.95552  60306.99191    51.49432        44.3989   54.00776  105.56062   86.0    0.03845  -21.91617  0.99915 
  -34.93094  0.00645  1.44627     13.69505   1.5674  1.07547  40.60985  0.12246     0.01316  5856.45045   6882.13727   0.2728         4853.85318     17.70969  0.00028  60186.94487   8.30859  0.26182   1239908.22876  46.05014  18.93018  60306.99191    51.57791       44.50734   56.46266   90.83123   90.0    0.03886  -21.82683  0.99662 
  -25.61416  0.00121  0.72157      13.9417  1.73829  0.99262  45.03285  0.12306     0.06782  5439.09746   7483.01507  0.40201         5179.28611     16.66086    3e-05  60196.26165   7.94713   0.0547    109927.07076   47.7513   18.8859  60310.06361    51.61302        44.5294   66.18426   98.29391   88.0    0.03247  -21.83702  0.99986 
  -29.96564  0.03601  2.14451     13.78781  1.86075  1.26973  25.16208  0.11324     0.02062  4024.74022   7862.68023  1.87391          4005.8199     18.53979  0.00193  60191.91017   2.43136   0.9061   2111258.38149  45.55134  18.87676  60313.41392    51.47875       44.38586   81.01164   93.28613  101.5    0.04021  -21.69537  0.98031 
  -24.64969  0.00117  1.75158     13.84869   1.9302  1.33343  36.16512   0.0925      0.0162  4001.32401   7465.80803  1.89613         3887.05455     19.10574  0.00709  60197.22612   3.45402   0.0423   1103832.31458  46.02468  18.90684  60309.04971    51.69394       44.64433   49.84337   92.54072  101.5    0.03591  -21.71279  0.99941 
  -31.22236  0.49509  2.31495     14.05969  1.69742  0.61427  18.00937  0.17135     0.03453  5367.57494    7335.4156  1.22342         4056.49938     18.80996  0.00359  60190.65346   3.09515  8.91618    641649.83258  45.96225  18.88656  60313.41392    51.53231       44.45088   71.19204   94.55231   98.5    0.04409  -21.72953  0.79161 
   -22.5997  0.12668  1.55342     13.95872   1.8143  0.97735  60.17847  0.03482     0.03354  4063.01502   8840.95648   0.8954         5407.18913     20.01796   0.0579  60199.27611   5.92605  7.62355    491667.26345  46.45331  18.88269  60313.41392    51.49304       44.38462   87.67157   95.83902   92.0     0.0476   -21.8706  0.91683 
  -21.08645  0.00131  1.11655     13.79394  1.61475  1.29442  85.94128  0.02478     0.01036  2639.28379   9137.51819   1.5697         4437.16828     19.63069  0.02374  60200.78936   3.57109  0.11224    482828.26403   46.6974  18.94938  60309.04971    51.53039       44.44504   52.36704  100.65082   99.0    0.03259  -21.62827  0.99918 
  -37.71306  0.00351  2.28853     13.45102  1.51794  1.47995  13.11445  0.18928     0.03044  5665.04822   7035.07762    2.042         3344.35336     17.81623  0.00036  60184.16275   2.51064  0.04606   9249851.58216  44.76485  18.90134  60302.36875    51.52592       44.43983   64.57452   87.62916   99.5    0.04841  -21.73387  0.99835 
  -35.15555  0.00705  2.63034     13.56154  1.80615  0.81883  10.74221  0.14995     0.02771  6401.05588   7283.91049  2.80722          2852.4074     18.01803  0.00058  60186.72026   2.62557   0.0757   8739883.78607  44.74407  18.88705  60309.04971    51.50281       44.42458   46.64306  105.56062   99.0    0.05561  -21.75212  0.99707 
  -24.67123  0.04773  2.20718     14.25278    1.699  0.26537  16.93407  0.25833      0.0205  6042.87657   7344.61234  3.89201         3605.14139     17.79283  0.00034  60197.20458   3.68872  0.80819    239949.37981  46.43124  18.89989  60309.04971    51.55611       44.48785   54.00776   98.19592   87.0    0.04449  -21.87271  0.97854 
  -31.76504  0.44621  2.39265     13.75449  1.69831  0.97085  14.81891  0.12943     0.02031  4608.79795   7950.34602  0.82519         4359.09855     19.73412  0.03012  60190.11077   1.87767  6.61239   2796432.40755   45.2945  18.91892  60306.99191    51.39207       44.26749   96.90479   98.19592   98.0    0.04645  -21.73182  0.82509 
  -35.13952  0.00123  1.55938     13.56559  1.61546  1.46348  16.46771  0.17679     0.04783  5069.54513   8249.21986  0.63176         4639.96711     20.66026  0.25409  60186.73629   2.52463  0.02031   2696678.67622  45.66041  18.89059  60310.20291    51.61755       44.53314    57.5682   97.09038   92.5    0.04479  -22.01723  0.99971 
  -32.29969  0.09942  2.30395     13.73358  1.69483  0.67769  13.33287  0.18172     0.02075  5584.48805   6759.77855  4.59578         2509.10395     18.50086  0.00176  60189.57613   2.48038  1.32556   2849291.39433  45.31829  18.94752  60302.36875    51.56006       44.43051   71.42573   98.19592   95.0    0.04706  -21.79478  0.96109 
  -35.99517  0.32466  1.73511     13.90191  1.48503  0.50152  13.73744  0.26766      0.0153  4791.36086   7532.09657  0.89727         4183.09943     18.33658  0.00121  60185.88064   1.88127  4.45997    652199.79278  46.14755  18.93257  60309.04971    51.50188       44.40689   56.46266  100.65082   88.0    0.03258  -21.76726  0.91666 
  -32.05777  0.00226  2.41478     13.73238  1.65074  0.83977  17.22642  0.12541     0.04134  4712.45542   7298.96043  2.01788         3712.73896     16.86977    4e-05  60189.81805   2.28201   0.0389   3065416.59986  45.23428  18.92388  60306.99191    51.46845       44.37815   66.52222   96.76723  103.5    0.05055  -21.68081  0.99866 
   -26.3482  0.05198  1.95111     13.69635  1.62692  1.30426  47.52584   0.0445     0.01129  3826.40992   7388.00122  1.50937          4030.5463     16.66136    3e-05  60195.52761   4.15088  2.47052   2328321.21722  45.53261  18.84171  60306.99191     51.4379       44.35725   83.46653   88.37633  103.0    0.04325  -21.69828  0.94747 
   -29.3956  0.01196  1.23312     13.86255  1.79757  1.50168  80.08862  0.06306     0.01992  5540.67784   8116.45324  0.48619         5295.40295     16.85853    4e-05  60192.48021  14.66641  0.95794    477994.19677   46.6621  18.82365  60309.04971    51.55881       44.49664   46.64306  100.65082   85.5    0.03928  -21.77881   0.9928 
  -26.39492  0.02161  0.95753     13.90949  1.80826  1.45151  83.28117  0.06297      0.2016  5114.22118   8431.06731   0.7448         5728.83089     17.87178  0.00041  60195.48089  12.99371  1.79977    233561.36577   47.1954  18.93871  60306.99191    51.57243       44.50831   49.93039   94.90859   91.0    0.03628  -21.85732  0.99204 
  -28.21053  0.06249  2.04588     13.66933  1.44933  1.01794  32.99794  0.06063     0.14889  3936.80559   7787.21108  1.90958         4099.24407     17.41689  0.00015  60193.66529   3.05072  2.06196   2582708.62877  45.39618  18.91185  60298.40281    51.47519       44.38716   76.10184   95.74102  101.0     0.0485  -21.70336  0.94258 
  -48.82142  0.30363  1.91548     13.28215  1.53195  1.31434  14.14633  0.28328     0.01376  6425.85626   6705.68136  1.77608         2392.48497     17.93077  0.00047  60173.05439   3.48444  4.29523  14233827.89242  44.73621  18.97207  60300.56989    51.35973       44.24821   73.24062  103.10572   88.5    0.04984  -21.90172   0.8999 
