# STATUS =
# OBJECT = PS111bdn
# TELESCOPE = MMT
# INSTRUMENT = Blue_Channel
# DATE-OBS =
# MJD = 55927.1
# EXPTIME = 3600
# AIRMASS = 1.3
# SLIT =
# DISPERSER = 300GPM
# SOURCE = 2018ApJ...852...81L
# FILTER = none
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS =
# WAVE_UNITS = AA
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from private comm. with Lunnan
 Wavelength            Flux 
     3372.0    0.0134234782 
     3374.0    0.0125104813 
     3376.0    0.0173002332 
     3378.0    0.0233471114 
     3380.0     0.013124791 
     3382.0    0.0151538542 
     3384.0    0.0113192555 
     3386.0    0.0133776562 
     3388.0    0.0121175796 
     3390.0    0.0180451702 
     3392.0    0.0219216142 
     3394.0    0.0144258747 
     3396.0    0.0237460621 
     3398.0    0.0212964676 
     3400.0    0.0155923758 
     3402.0    0.0156929903 
     3404.0    0.0182233285 
     3406.0    0.0185304768 
     3408.0    0.0225145314 
     3410.0    0.0116134984 
     3412.0    0.0138644669 
     3414.0    0.0253829248 
     3416.0    0.0324680395 
     3418.0    0.0285343174 
     3420.0    0.0257419832 
     3422.0    0.0305042341 
     3424.0    0.0293336753 
     3426.0     0.026453482 
     3428.0    0.0257309321 
     3430.0    0.0197857041 
     3432.0    0.0194565244 
     3434.0    0.0151202576 
     3436.0    0.0135745248 
     3438.0    0.0227751303 
     3440.0    0.0263573844 
     3442.0    0.0239680447 
     3444.0     0.021517789 
     3446.0    0.0186163597 
     3448.0    0.0187975056 
     3450.0    0.0288249124 
     3452.0    0.0333097391 
     3454.0    0.0301684849 
     3456.0    0.0329891779 
     3458.0    0.0336408839 
     3460.0    0.0248533506 
     3462.0    0.0264401007 
     3464.0    0.0255384967 
     3466.0    0.0308391899 
     3468.0    0.0322965086 
     3470.0    0.0251445398 
     3472.0    0.0274576005 
     3474.0    0.0252439715 
     3476.0    0.0247348789 
     3478.0    0.0246183444 
     3480.0    0.0300478656 
     3482.0     0.027606152 
     3484.0    0.0248962305 
     3486.0    0.0264546704 
     3488.0    0.0219362918 
     3490.0    0.0238410998 
     3492.0     0.029469775 
     3494.0    0.0306255594 
     3496.0     0.030177379 
     3498.0    0.0297148712 
     3500.0    0.0252298228 
     3502.0    0.0221032985 
     3504.0    0.0237088539 
     3506.0    0.0197600294 
     3508.0    0.0137580326 
     3510.0    0.0228795465 
     3512.0    0.0321635231 
     3514.0    0.0293247886 
     3516.0    0.0269884635 
     3518.0    0.0291640684 
     3520.0    0.0307150446 
     3522.0    0.0294011422 
     3524.0    0.0311596412 
     3526.0    0.0322302058 
     3528.0    0.0230584629 
     3530.0    0.0216663349 
     3532.0    0.0273610707 
     3534.0    0.0302151199 
     3536.0    0.0324234813 
     3538.0    0.0309155732 
     3540.0     0.029536901 
     3542.0    0.0235638395 
     3544.0    0.0208009295 
     3546.0    0.0294871479 
     3548.0    0.0384856313 
     3550.0    0.0383101404 
     3552.0    0.0316610299 
     3554.0    0.0270306915 
     3556.0    0.0312125348 
     3558.0    0.0288078841 
     3560.0    0.0259464234 
     3562.0    0.0301820077 
     3564.0    0.0297893416 
     3566.0    0.0250527915 
     3568.0    0.0301933363 
     3570.0    0.0326868258 
     3572.0    0.0302693546 
     3574.0    0.0336613618 
     3576.0    0.0367418863 
     3578.0    0.0338091813 
     3580.0    0.0308305863 
     3582.0    0.0262581464 
     3584.0    0.0271420982 
     3586.0    0.0280417614 
     3588.0    0.0273376759 
     3590.0    0.0304646008 
     3592.0    0.0291374903 
     3594.0    0.0283523388 
     3596.0    0.0285936166 
     3598.0    0.0317918025 
     3600.0    0.0308655538 
     3602.0    0.0268656686 
     3604.0    0.0282908976 
     3606.0    0.0297658667 
     3608.0    0.0278540328 
     3610.0    0.0250498075 
     3612.0    0.0271043628 
     3614.0    0.0299941879 
     3616.0    0.0316383764 
     3618.0    0.0310991444 
     3620.0    0.0305872373 
     3622.0    0.0302195288 
     3624.0    0.0252757259 
     3626.0    0.0312104113 
     3628.0    0.0336274356 
     3630.0    0.0285008959 
     3632.0    0.0265921056 
     3634.0     0.024621034 
     3636.0    0.0270999242 
